Food id,Food name,Cuisine name,Calories (in kcal),Fat(in g),Carbohydrates(in g),Protein(in g),Sodium(in mg),Meal type,Veg non veg,Expected price
BF014,Bruschetta,Bar Food,200,9,24,5,350,Wheat based,V,200
BF015,Pulled Pork Sliders,Bar Food,330,15,28,19,570,Meat based,NV,400
AM001,Buffalo Wings,American,430,27,6,41,1540,Meat based,NV,450
AM002,Burger and Fries,American,700,39,57,31,980,Meat based,NV,500
AM003,Mac and Cheese,American,310,15,31,13,660,Wheat based,V,350
AM004,Club Sandwich,American,690,40,47,33,1650,Wheat based,NV,450
AM005,Chicken Tenders,American,280,17,14,17,780,Meat based,NV,300
AM006,Grilled Cheese Sandwich,American,330,16,33,15,810,Wheat based,V,250
AM007,Caesar Salad,American,220,19,7,6,320,Salad based,V,350
AM008,French Fries,American,312,15,41,3,414,Vegetable based,V,150
AM009,Chili Dog,American,320,20,19,14,840,Meat based,NV,300
AM010,Baked Potato,American,170,0.2,38,4,20,Vegetable based,V,150
AM011,Shrimp and Grits,American,400,22,27,22,880,Sea food based,NV,450
AM012,Reuben Sandwich,American,900,51,48,51,2460,Wheat based,NV,600
AM013,Philly Cheesesteak,American,530,30,40,29,1200,Meat based,NV,500
AM014,Corn on the Cob,American,86,1.2,19,3,20,Vegetable based,V,100
AM015,Hot Dog,American,150,13,1,6,310,Meat based,NV,150
ST001,Rib Eye Steak,Steak,300,24,0,21,70,Meat based,NV,700
ST002,Filet Mignon,Steak,290,20,0,26,55,Meat based,NV,800
ST003,T-Bone Steak,Steak,290,23,0,21,70,Meat based,NV,850
ST004,New York Strip,Steak,320,23,0,27,55,Meat based,NV,750
ST005,Porterhouse Steak,Steak,350,27,0,25,65,Meat based,NV,900
ST006,Prime Rib,Steak,450,38,0,27,170,Meat based,NV,1000
ST007,Sirloin Steak,Steak,260,16,0,28,70,Meat based,NV,650
ST008,Skirt Steak,Steak,290,23,0,20,65,Meat based,NV,700
ST009,Flank Steak,Steak,250,17,0,23,75,Meat based,NV,650
ST010,Hanger Steak,Steak,250,14,0,27,55,Meat based,NV,700
ST011,Filet of Sirloin,Steak,230,10,0,34,85,Meat based,NV,750
ST012,Chopped Steak,Steak,220,12,0,27,70,Meat based,NV,500
ST013,Beef Stroganoff,Steak,250,14,6,19,50,Meat based,NV,550
ST014,Beef Kabobs,Steak,230,13,2,27,60,Meat based,NV,650
ST015,Beef Fajitas,Steak,220,8,9,29,35,Meat based,NV,600
AS001,Pad Thai,Asian,330,12,50,10,600,Rice based,NV,250
AS002,Pho,Asian,300,5,54,20,800,Rice based,NV,300
AS003,Beef and Broccoli Stir-Fry,Asian,180,9,14,12,600,Wheat based,NV,350
AS004,General Tso's Chicken,Asian,350,18,32,20,1000,Wheat based,NV,400
AS005,Sushi Roll,Asian,250,8,38,6,300,Seafood based,NV,500
AS006,Dim Sum,Asian,200,8,25,6,300,Wheat based,NV,200
AS007,Kimchi Fried Rice,Asian,300,10,38,10,800,Rice based,V,200
AS008,Miso Soup,Asian,40,2,3,3,800,Milk based,V,80
AS009,Green Curry,Asian,200,12,10,10,700,Rice based,V,300
AS010,Tandoori Chicken,Asian,240,9,1,36,330,Meat based,NV,450
AS011,Bibimbap,Asian,400,12,60,15,800,Rice based,NV,350
AS012,Beef Satay,Asian,200,12,2,20,300,Meat based,NV,350
AS013,Vietnamese Spring Rolls,Asian,200,8,25,10,600,Salad based,V,200
AS014,Chicken Tikka Masala,Asian,280,15,7,28,600,Rice based,NV,400
AS015,Shrimp Pad See Ew,Asian,400,20,45,18,1500,Rice based,NV,350
GF001,Truffle Burger,Gourmet Fast Food,600,30,40,25,800,Wheat based,NV,450
GF002,Lobster Roll,Gourmet Fast Food,500,25,40,20,900,Wheat based,NV,800
GF003,Falafel Wrap,Gourmet Fast Food,350,10,40,15,500,Wheat based,V,200
GF004,Mac and Cheese,Gourmet Fast Food,500,25,40,20,700,Wheat based,V,300
GF005,Pulled Pork Sandwich,Gourmet Fast Food,600,30,40,25,900,Wheat based,NV,350
GF006,Chicken Wings,Gourmet Fast Food,400,20,20,30,900,Junk food,NV,300
GF007,Fish and Chips,Gourmet Fast Food,600,30,60,20,1200,Wheat based,NV,400
GF008,Grilled Cheese Sandwich,Gourmet Fast Food,400,20,30,15,600,Wheat based,V,250
GF009,Buffalo Chicken Wrap,Gourmet Fast Food,450,20,40,25,800,Wheat based,NV,350
GF010,Loaded Fries,Gourmet Fast Food,600,30,50,20,1000,Junk food,V,250
GF011,Chili Cheese Dog,Gourmet Fast Food,500,25,30,20,900,Wheat based,NV,300
GF012,Gourmet Pizza,Gourmet Fast Food,400,20,30,15,700,Wheat based,V,500
GF013,Shrimp Po' Boy,Gourmet Fast Food,550,25,40,20,1000,Wheat based,NV,450
GF014,Vegan Burger,Gourmet Fast Food,400,15,40,20,800,Wheat based,V,350
GF015,Churro Sundae,Gourmet Fast Food,500,20,70,10,200,Milk based,V,150
TX001,Enchiladas,Tex-Mex,350,20,20,15,800,Wheat based,V,200
TX002,Quesadilla,Tex-Mex,400,25,30,20,900,Wheat based,V,250
TX003,Fajitas,Tex-Mex,450,30,25,25,1000,Wheat based,NV,350
TX004,Taco Salad,Tex-Mex,400,20,30,15,600,Salad based,V,300
TX005,Burrito,Tex-Mex,500,25,40,20,900,Wheat based,NV,350
TX006,Tostadas,Tex-Mex,300,15,20,15,500,Wheat based,V,150
TX007,Chili Con Carne,Tex-Mex,400,25,20,20,700,Meat based,NV,300
TX008,Tex-Mex Burger,Tex-Mex,600,35,40,25,1000,Wheat based,NV,450
TX009,Nachos,Tex-Mex,500,30,40,20,900,Wheat based,V,300
TX010,Chimichanga,Tex-Mex,550,30,45,25,1000,Wheat based,NV,400
TX011,Tex-Mex Rice,Tex-Mex,250,5,50,5,300,Rice based,V,150
TX012,Tex-Mex Potatoes,Tex-Mex,300,10,40,10,400,Salad based,V,200
TX013,Tex-Mex Soup,Tex-Mex,200,10,10,15,500,Meat based,NV,250
TX014,Guacamole,Tex-Mex,200,20,10,5,300,Salad based,V,150
TX015,Texas Chili Fries,Tex-Mex,600,35,50,20,1100,Junk food,NV,400
DS001,Chocolate Cake,Desserts,350,20,40,4,150,Milk based,V,250
DS002,Apple Pie,Desserts,300,15,35,2,100,Wheat based,V,200
DS003,Tiramisu,Desserts,250,12,30,4,120,Milk based,V,300
DS004,Churros,Desserts,400,20,50,5,300,Wheat based,V,150
DS005,Ice Cream,Desserts,200,10,20,2,50,Milk based,V,100
DS006,Cheesecake,Desserts,450,25,30,5,250,Milk based,V,300
DS007,Brownie,Desserts,350,18,40,4,100,Wheat based,V,200
DS008,Cupcake,Desserts,200,10,25,2,50,Wheat based,V,100
DS009,Bread Pudding,Desserts,300,12,40,4,150,Wheat based,V,150
DS010,Molten Lava Cake,Desserts,400,22,30,4,200,Wheat based,V,300
DS011,Pecan Pie,Desserts,400,20,45,5,100,Wheat based,V,250
DS012,Macarons,Desserts,350,20,35,5,100,Wheat based,V,350
DS013,Fruit Tart,Desserts,250,12,30,4,100,Wheat based,V,200
DS014,Chocolate Mousse,Desserts,300,15,20,4,50,Milk based,V,250
DS015,Donuts,Desserts,350,18,40,3,200,Wheat based,V,100
MA001,Lamb Rack,Modern Australian,280,15,0,31,60,Meat based,NV,600
MA002,Barramundi,Modern Australian,200,5,0,30,60,Sea food based,NV,500
MA003,Chicken Parmigiana,Modern Australian,350,20,25,25,700,Meat based,NV,400
MA004,Burger,Modern Australian,400,22,30,20,500,Wheat based,NV,350
MA005,Corn Fritters,Modern Australian,300,10,35,8,350,Wheat based,V,250
MA006,Beef Steak,Modern Australian,350,18,0,36,70,Meat based,NV,700
MA007,Grilled Prawns,Modern Australian,150,2,1,30,200,Sea food based,NV,450
MA008,Smashed Avocado Toast,Modern Australian,250,10,25,8,300,Wheat based,V,200
MA009,Pork Belly,Modern Australian,450,30,0,20,100,Meat based,NV,600
MA010,Seafood Platter,Modern Australian,300,12,2,40,500,Sea food based,NV,1000
MA011,Salt and Pepper Calamari,Modern Australian,200,8,15,15,400,Sea food based,NV,300
MA012,Meat Pie,Modern Australian,350,18,25,20,400,Wheat based,NV,150
MA013,Roast Chicken,Modern Australian,250,10,0,32,70,Meat based,NV,400
MA014,Fish and Chips,Modern Australian,450,20,45,15,500,Sea food based,NV,300
MA015,Chicken Caesar Salad,Modern Australian,200,10,15,20,300,Salad based,NV,350
RJ001,Dal Baati Churma,Rajasthani,350,10,50,10,400,Wheat based,V,200
RJ002,Gatte ki Sabzi,Rajasthani,250,12,20,10,300,Wheat based,V,150
RJ003,Ker Sangri,Rajasthani,200,5,15,5,250,Salad based,V,150
RJ004,Laal Maas,Rajasthani,400,20,15,25,500,Meat based,NV,400
RJ005,Mirchi Bada,Rajasthani,250,10,20,10,350,Wheat based,V,100
RJ006,Kachori,Rajasthani,300,15,20,10,350,Wheat based,V,100
RJ007,Bajre ki Roti,Rajasthani,200,5,25,5,200,Wheat based,V,50
RJ008,Churma Ladoo,Rajasthani,200,10,20,5,100,Milk based,V,100
RJ009,Kadhi,Rajasthani,150,5,15,10,300,Milk based,V,150
RJ010,Pyaaz Kachori,Rajasthani,300,15,20,10,350,Wheat based,V,100
RJ011,Dahi Bhalla,Rajasthani,200,5,20,10,250,Milk based,V,100
RJ012,Aloo Pyaaz ki Sabzi,Rajasthani,200,8,20,5,250,Wheat based,V,150
RJ013,Ghevar,Rajasthani,300,15,30,5,250,Milk based,V,200
RJ014,Moong Dal Halwa,Rajasthani,350,15,30,5,250,Milk based,V,200
RJ015,Mirchi ke Tipore,Rajasthani,200,10,15,5,250,Salad based,V,100
AU001,Lamington,Australian,350,15,50,5,250,Desserts,V,150
AU002,Anzac Biscuits,Australian,200,10,25,3,150,Desserts,V,100
AU003,Meat Pie,Australian,400,20,30,25,500,Meat based,NV,250
AU004,Sausage Roll,Australian,350,15,25,15,400,Meat based,NV,200
AU005,Fish and Chips,Australian,400,15,50,20,600,Sea food based,NV,300
AU006,Grilled Kangaroo,Australian,200,5,0,40,100,Meat based,NV,400
AU007,Chicken Parmigiana,Australian,450,25,20,35,800,Meat based,NV,350
AU008,Pavlova,Australian,300,5,50,5,100,Desserts,V,200
AU009,Chiko Roll,Australian,300,15,30,10,350,Meat based,NV,150
AU010,Barramundi,Australian,250,10,0,30,200,Sea food based,NV,400
AU011,Bangers and Mash,Australian,400,20,25,20,500,Meat based,NV,250
AU012,Lamb Roast,Australian,300,15,0,30,200,Meat based,NV,500
AU013,Chicken Burger,Australian,350,20,30,15,500,Junk food,NV,200
AU014,Prawn Cocktail,Australian,200,10,10,15,250,Sea food based,NV,300
AU015,Pork Ribs,Australian,450,25,20,35,800,Meat based,NV,350
PE001,Kabob Koobideh,Persian,400,25,10,35,800,Meat based,NV,350
PE002,Tahchin,Persian,300,10,40,10,200,Rice based,V,300
PE003,Ghormeh Sabzi,Persian,250,10,15,25,400,Salad based,V,400
PE004,Fesenjoon,Persian,350,15,20,30,300,Rice based,V,500
PE005,Kashk e Bademjan,Persian,200,10,15,10,150,Salad based,V,200
PE006,Dolmeh Barg-e Mo,Persian,150,5,20,5,100,Salad based,V,150
PE007,Mast o Khiar,Persian,100,5,10,3,150,Salad based,V,100
PE008,Sabzi Khordan,Persian,50,2,5,2,50,Salad based,V,50
PE009,Joojeh Kabab,Persian,300,10,15,30,600,Meat based,NV,300
PE010,Gheymeh Bademjan,Persian,300,15,20,20,350,Salad based,V,400
PE011,Adas Polo,Persian,250,10,25,10,200,Rice based,V,250
PE012,Tahdig,Persian,200,5,30,5,150,Rice based,V,200
PE013,Shirin Polow,Persian,300,10,50,5,150,Rice based,V,300
PE014,Khoresh Gheymeh,Persian,350,15,20,30,400,Salad based,V,350
PE015,Baghali Polo,Persian,250,5,50,10,200,Rice based,V,250
1,Caesar Salad,Salad,184,15,7.3,6.8,531,Salad based,V,250
2,Greek Salad,Salad,81,6,4.2,2.7,120,Salad based,V,150
3,Nicoise Salad,Salad,144,10,6.4,6.7,438,Salad based,V,200
4,Caprese Salad,Salad,137,10,2.2,9,161,Salad based,V,180
5,Tuna Salad,Salad,148,6,3.3,22,405,Salad based,NV,220
6,Cobb Salad,Salad,241,19,5.1,13,754,Salad based,NV,350
7,Chicken Salad,Salad,154,8,1.6,19,473,Salad based,NV,250
8,Couscous Salad,Salad,112,1,23,4.2,9,Salad based,V,200
9,Tabbouleh Salad,Salad,132,3,20,4.7,38,Salad based,V,200
10,Spinach Salad,Salad,23,0.4,3.6,2.9,79,Salad based,V,100
11,Caprese Skewers,Salad,117,7.8,2.1,9.2,251,Salad based,V,150
12,Waldorf Salad,Salad,155,9.9,10,6.1,66,Salad based,V,200
13,Corn Salad,Salad,86,4.4,9.9,2.4,178,Salad based,V,150
14,Bean Salad,Salad,120,3,16,6,102,Salad based,V,180
15,Panzanella Salad,Salad,106,3.3,16,3.9,205,Salad based,V,180
1,Fried chicken,Southern,274,15.3,10.7,22.1,665,Meat based,NV,250
2,Shrimp and grits,Southern,137,5.6,12.7,8.6,335,Sea food based,NV,350
3,Cornbread,Southern,198,7.6,28.8,3.6,498,Wheat based,V,60
4,Collard greens,Southern,35,0.4,7.2,2,389,Salad based,V,100
5,Buttermilk biscuits,Southern,260,15,25,5,532,Wheat based,V,80
6,Pulled pork,Southern,271,17,1.1,26,670,Meat based,NV,300
7,Mac and cheese,Southern,371,17.9,38.8,14.1,529,Wheat based,V,150
8,Hush puppies,Southern,240,12,31,4,498,Wheat based,V,80
9,Red beans and rice,Southern,97,1,20,5,305,Rice based,V,200
10,Catfish,Southern,105,3.3,8,12.4,258,Sea food based,NV,350
11,Bourbon glazed salmon,Southern,155,5,6,19,300,Sea food based,NV,500
12,Pecan pie,Southern,503,27,65,5,246,Wheat based,V,200
13,Fried green tomatoes,Southern,210,14,20,2,296,Wheat based,V,150
14,Black eyed peas,Southern,106,0.4,20.2,6.7,227,Vegetable based,V,100
15,Biscuits and gravy,Southern,360,22,30,9,830,Wheat based,NV,120
1,Taco salad,Southwestern,267,12.5,23.5,17.1,617,Salad based,NV,200
2,Chimichanga,Southwestern,450,21,38,27,1300,Meat based,NV,350
3,Enchiladas,Southwestern,225,12,16,13,680,Meat based,NV,250
4,Guacamole,Southwestern,160,15,8,2,400,Vegetable based,V,150
5,Fajitas,Southwestern,247,7,9,34,765,Meat based,NV,400
6,Tamales,Southwestern,240,10,30,5,320,Meat based,NV,300
7,Green chile stew,Southwestern,130,4.2,11.3,10,420,Vegetable based,V,150
8,Queso dip,Southwestern,327,26.1,7.8,16.1,787,Dairy based,V,200
9,Salsa,Southwestern,36,0.2,8.7,1,360,Vegetable based,V,80
10,Tortilla soup,Southwestern,68,2,10,2,430,Meat based,NV,150
11,Chiles rellenos,Southwestern,156,10,13,7,360,Vegetable based,V,250
12,Carnitas,Southwestern,186,11,0,22,710,Meat based,NV,350
13,Pico de gallo,Southwestern,36,0.2,8.7,1,360,Vegetable based,V,100
14,Chalupas,Southwestern,264,11,28,15,586,Meat based,NV,300
15,Taco,Southwestern,215,12,17,12,680,Meat based,NV,80
1,Bombil fry,Malwani,227,10,4,29,417,Seafood based,NV,300
2,Solkadhi,Malwani,100,8,4,1,60,Drinks,V,50
3,Fish thali,Malwani,557,29,30,44,1873,Rice based,NV,500
4,Prawn curry,Malwani,210,10,5,25,820,Seafood based,NV,350
5,Kombdi vade,Malwani,360,18,38,14,984,Wheat based,NV,300
6,Tisrya masala,Malwani,215,12,7,20,487,Seafood based,NV,300
7,Mori masala,Malwani,228,11,8,24,689,Seafood based,NV,350
8,Khekda bhaji,Malwani,325,19,6,30,644,Seafood based,NV,400
9,Bangda fry,Malwani,206,11,4,22,343,Seafood based,NV,250
10,Kolambi Bhaat,Malwani,390,16,37,22,1430,Rice based,NV,350
11,Fish fry,Malwani,222,12,8,20,369,Seafood based,NV,250
12,Prawns Koliwada,Malwani,275,12,21,24,1200,Seafood based,NV,350
13,Kombdi masala,Malwani,286,15,9,28,612,Meat based,NV,300
14,Mori aambat,Malwani,173,8,7,20,455,Seafood based,NV,300
15,Sol kadi,Malwani,65,4,4,1,60,Drinks,V,50
1,Poke bowl,Hawaiian,110,1.5,20,8,200,Salad based,Non-Veg,10
2,Lomi salmon,Hawaiian,150,8,8,10,250,Seafood based,Non-Veg,8
3,Kalua pork,Hawaiian,320,18,0,38,700,Meat based,Non-Veg,15
4,Haupia,Hawaiian,180,5,30,1,60,Milk based,Veg,5
5,Spam musubi,Hawaiian,170,8,20,7,600,Rice based,Non-Veg,4
6,Malasadas,Hawaiian,350,16,46,6,180,Wheat based,Veg,8
7,Ahi poke,Hawaiian,150,1.5,5,30,200,Seafood based,Non-Veg,12
8,Manapua,Hawaiian,300,6,49,11,680,Wheat based,Non-Veg,6
9,Lau lau,Hawaiian,400,20,0,50,1000,Meat based,Non-Veg,18
10,Loco moco,Hawaiian,500,26,35,30,1000,Rice based,Non-Veg,10
11,Poi,Hawaiian,140,0,32,1,20,Wheat based,Veg,5
12,Shave ice,Hawaiian,80,0,20,0,0,Fruits,Veg,3
13,Huli huli chicken,Hawaiian,220,5,12,30,350,Meat based,Non-Veg,12
14,Pipikaula,Hawaiian,240,8,6,36,500,Meat based,Non-Veg,14
15,Sweet potato,Hawaiian,86,0.1,20,2,41,Fruits,Veg,4
1,Chettinad Chicken,Chettinad,180,7,3,26,200,Meat based,Non-Veg,250
2,Kuzhi Paniyaram,Chettinad,180,7,25,5,300,Rice based,Veg,100
3,Vellai Paniyaram,Chettinad,220,5,35,3,320,Wheat based,Veg,80
4,Chettinad Fish Fry,Chettinad,250,14,10,22,420,Seafood based,Non-Veg,350
5,Chicken Chukka,Chettinad,280,15,10,28,300,Meat based,Non-Veg,280
6,Vatha Kuzhambu,Chettinad,180,5,25,8,200,Salad based,Veg,150
7,Pepper Chicken,Chettinad,230,12,10,20,400,Meat based,Non-Veg,300
8,Chettinad Egg Masala,Chettinad,150,6,5,20,200,Meat based,Non-Veg,200
9,Keerai Masial,Chettinad,100,3,10,6,150,Salad based,Veg,100
10,Karuveppilai Kuzhambu,Chettinad,120,5,20,2,200,Salad based,Veg,150
11,Chettinad Mutton Kuzhambu,Chettinad,250,18,5,25,400,Meat based,Non-Veg,400
12,Chettinad Chicken Gravy,Chettinad,200,8,5,26,250,Meat based,Non-Veg,250
13,Kola Urundai Kuzhambu,Chettinad,180,5,25,8,200,Meat based,Non-Veg,220
14,Chettinad Vegetable Kurma,Chettinad,150,8,10,10,300,Salad based,Veg,180
15,Chettinad Parotta,Chettinad,200,10,25,5,250,Wheat based,Veg,40
1,Jambalaya,Cajun,150,7,10,10,300,Rice based,Non-Veg,200
2,Gumbo,Cajun,180,10,15,12,400,Salad based,Non-Veg,250
3,Crawfish Étouffée,Cajun,200,12,10,18,350,Rice based,Non-Veg,300
4,Andouille Sausage,Cajun,280,20,5,20,500,Meat based,Non-Veg,350
5,Red Beans and Rice,Cajun,220,7,40,10,400,Rice based,Veg,150
6,Shrimp Creole,Cajun,190,10,15,12,400,Seafood based,Non-Veg,300
7,Dirty Rice,Cajun,240,12,25,10,450,Rice based,Non-Veg,200
8,Catfish Po' Boy,Cajun,300,15,35,20,600,Wheat based,Non-Veg,250
9,Blackened Chicken,Cajun,180,7,5,20,300,Meat based,Non-Veg,200
10,Muffuletta,Cajun,350,18,25,25,800,Wheat based,Non-Veg,400
11,Shrimp and Grits,Cajun,250,10,20,20,400,Rice based,Non-Veg,350
12,Boudin,Cajun,220,10,15,15,400,Meat based,Non-Veg,200
13,Chicken and Sausage Gumbo,Cajun,200,12,10,18,350,Salad based,Non-Veg,300
14,Alligator Meatballs,Cajun,240,15,10,20,500,Meat based,Non-Veg,400
15,Shrimp and Crab Étouffée,Cajun,250,15,10,20,450,Rice based,Non-Veg,400
1,Jerk Chicken,Caribbean,250,10,5,30,500,Meat based,Non-Veg,300
2,Goat Curry,Caribbean,300,15,20,25,800,Meat based,Non-Veg,400
3,Rice and Peas,Caribbean,180,5,35,10,300,Rice based,Veg,150
4,Ackee and Saltfish,Caribbean,220,10,10,25,400,Seafood based,Non-Veg,200
5,Callaloo Soup,Caribbean,100,2,15,5,200,Salad based,Veg,150
6,Conch Fritters,Caribbean,200,10,20,15,400,Seafood based,Non-Veg,250
7,Curry Goat,Caribbean,280,15,20,25,700,Meat based,Non-Veg,350
8,Fried Plantains,Caribbean,200,10,20,2,300,Fruits,Veg,100
9,Escovitch Fish,Caribbean,220,12,10,20,400,Seafood based,Non-Veg,300
10,Pepperpot,Caribbean,250,10,20,25,500,Meat based,Non-Veg,350
11,Curry Chicken,Caribbean,200,10,10,25,500,Meat based,Non-Veg,250
12,Doubles,Caribbean,250,10,20,5,350,Wheat based,Veg,50
13,Oxtail Stew,Caribbean,350,20,25,30,1000,Meat based,Non-Veg,450
14,Fried Dumplings,Caribbean,200,10,20,5,300,Wheat based,Veg,50
15,Fish and Bammy,Caribbean,200,10,20,15,400,Seafood based,Non-Veg,300
1,Rogan Josh,Kashmiri,220,11,10,20,300,Meat based,Non-Veg,400
2,Gushtaba,Kashmiri,280,16,12,22,450,Meat based,Non-Veg,500
3,Kashmiri Pulao,Kashmiri,280,10,40,8,350,Rice based,Veg,200
4,Yakhni,Kashmiri,100,5,10,5,150,Meat based,Non-Veg,250
5,Dum Olav,Kashmiri,150,8,12,8,200,Veg based,Veg,300
6,Kashmiri Rajma,Kashmiri,180,6,25,7,250,Wheat based,Veg,150
7,Nadir Yakhni,Kashmiri,120,6,8,8,150,Veg based,Veg,200
8,Matschgand,Kashmiri,200,12,10,18,350,Meat based,Non-Veg,450
9,Tschok Wangan,Kashmiri,100,5,12,2,150,Veg based,Veg,150
10,Modur Pulao,Kashmiri,300,10,45,5,400,Rice based,Veg,300
11,Rista,Kashmiri,200,12,5,20,300,Meat based,Non-Veg,350
12,Kashmiri Kebab,Kashmiri,180,10,5,18,250,Meat based,Non-Veg,400
13,Shab Deg,Kashmiri,200,12,10,20,300,Meat based,Non-Veg,450
14,Daniwal Korma,Kashmiri,220,10,12,25,350,Meat based,Non-Veg,400
15,Khameera Roti,Kashmiri,120,4,15,3,150,Wheat based,Veg,50
1,Bibimbap,Korean,350,8,50,15,700,Rice based,Veg/Non-Veg,300
2,Bulgogi,Korean,250,8,10,20,500,Meat based,Non-Veg,600
3,Kimchi,Korean,15,0.3,3,1,800,Veg based,Veg,100
4,Haemul Pajeon,Korean,250,10,20,15,800,Seafood based,Non-Veg,400
5,Samgyeopsal,Korean,280,20,5,15,700,Meat based,Non-Veg,500
6,Doenjang Jjigae,Korean,120,4,15,10,600,Veg based,Veg,200
7,Japchae,Korean,400,12,60,10,500,Wheat based,Veg/Non-Veg,300
8,Bokkeumbap,Korean,400,10,70,20,600,Rice based,Veg/Non-Veg,250
9,Dak Galbi,Korean,350,15,20,20,700,Meat based,Non-Veg,500
10,Bibim Guksu,Korean,350,5,60,10,500,Wheat based,Veg/Non-Veg,250
11,Naengmyeon,Korean,200,2,45,10,600,Wheat based,Veg/Non-Veg,350
12,Jeonbokjuk,Korean,100,5,10,5,200,Seafood based,Non-Veg,300
13,Jjajangmyeon,Korean,500,20,50,15,900,Wheat based,Veg/Non-Veg,400
14,Soondubu Jjigae,Korean,150,10,5,10,500,Veg based,Veg/Non-Veg,200
15,Hotteok,Korean,300,10,40,5,200,Wheat based,Veg,50
1,Banh Mi Sandwich,Asian Fusion,350,10,50,20,800,Wheat based,Non-Veg,300
2,Chicken Teriyaki Rice Bowl,Asian Fusion,400,10,60,25,900,Rice based,Non-Veg,500
3,Pad Thai,Asian Fusion,450,15,65,15,1000,Rice based,Veg/Non-Veg,350
4,California Roll,Asian Fusion,250,5,45,5,500,Seafood based,Non-Veg,400
5,Korean Fried Chicken,Asian Fusion,300,15,20,20,800,Meat based,Non-Veg,450
6,Buddha Bowl,Asian Fusion,350,10,50,20,600,Salad based,Veg/Non-Veg,400
7,Lamb Kofta Kebabs,Asian Fusion,300,15,10,30,800,Meat based,Non-Veg,600
8,Thai Green Curry,Asian Fusion,300,15,20,15,700,Rice based,Veg/Non-Veg,400
9,Crispy Pork Belly Ramen,Asian Fusion,500,20,60,25,1200,Noodle based,Non-Veg,700
10,Tandoori Chicken Tacos,Asian Fusion,250,10,25,15,500,Wheat based,Non-Veg,350
11,Soba Noodle Salad,Asian Fusion,200,5,35,10,300,Noodle based,Veg/Non-Veg,250
12,Beef Bulgogi Tacos,Asian Fusion,350,15,20,25,800,Wheat based,Non-Veg,500
13,Vietnamese Summer Rolls,Asian Fusion,100,3,15,5,200,Veg based,Veg/Non-Veg,200
14,Peking Duck Bao,Asian Fusion,350,10,50,15,600,Wheat based,Non-Veg,450
15,Crispy Tofu Poke Bowl,Asian Fusion,300,10,45,15,500,Rice based,Veg,400
